Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,RSI_14,Volatility_20,BB_Upper,BB_Lower,ATR_14,Support_20,Resistance_20,Volume_SMA_20,Volume_Ratio,Drawdown_50,RSI_14_lag1,RSI_14_lag2,MACD_lag1,MACD_lag2,Daily_Return_lag1,Volume_Ratio_lag1,Target_Close_3D,Target_Return,Target_Direction
ADANIENT,2023-03-14,1874.0,1874.85,1651.35,1738.2,1735.04,12679663,-0.07266325224071701,1671.8349999999998,2481.699,1787.3149073056447,1919.25018052038,-131.93527321473516,-227.74320265592036,55.47797010228167,0.0769013485668956,2157.344619504673,1186.3253804953265,196.375,1103.75,2135.0,13550692.8,0.9357206444824725,-0.5491401447358182,58.78695244381145,55.71174611535423,-137.48930450988496,-156.44606002464138,-0.011496677565657643,0.5598033803845955,1876.55,0.0795938327004948,1
ADANIENT,2023-03-15,1760.9,1891.45,1728.1,1839.0,1835.66,12296703,0.057991025198481205,1676.3,2441.655,1795.266460027853,1913.3057227040554,-118.03926267620227,-205.80241465997676,64.8706970371639,0.07781248618159695,2166.4450934484325,1186.1549065515674,194.47857142857148,1103.75,2135.0,13436576.45,0.9151663778164266,-0.5229943195082095,55.47797010228167,58.78695244381145,-131.93527321473516,-137.48930450988496,-0.07266325224071701,0.9357206444824725,1804.95,-0.018515497553017957,0
ADANIENT,2023-03-16,1861.0,1875.0,1795.0,1843.8,1840.45,6509495,0.002610114192495905,1679.5350000000003,2401.9120000000003,1802.7331584851063,1908.157150651903,-105.42399216679678,-185.72673016134078,65.98606440877734,0.07776638372886156,2173.3769980647917,1185.693001935209,193.9071428571429,1103.75,2135.0,13380222.3,0.48650125939985317,-0.5217492802116568,64.8706970371639,55.47797010228167,-118.03926267620227,-131.93527321473516,0.057991025198481205,0.9151663778164266,1824.25,-0.010603102288751498,0
ADANIENT,2023-03-17,1901.0,1918.85,1845.0,1876.55,1873.14,5969594,0.01776223017680878,1683.5325,2362.902,1814.0895956412437,1905.8158802332434,-91.72628459199973,-166.92664104747257,69.91690931041829,0.0778149164484323,2182.6307840399004,1184.4342159600997,187.45357142857145,1103.75,2135.0,13399776.25,0.44549952839697604,-0.5132544808445516,65.98606440877734,64.8706970371639,-105.42399216679678,-118.03926267620227,0.002610114192495905,0.48650125939985317,1815.4,-0.03258639524659612,0
ADANIENT,2023-03-20,1837.0,1849.95,1777.4,1804.95,1801.67,5168139,-0.038155125096586806,1687.645,2322.405,1812.6835040041294,1898.3443335492996,-85.66082954517015,-150.6734787470121,72.52034915841037,0.07772489389956198,2189.450282953452,1185.839717046548,181.35,1103.75,2135.0,13388557.55,0.38601163573442604,-0.5318263170181309,69.91690931041829,65.98606440877734,-91.72628459199973,-105.42399216679678,0.01776223017680878,0.44549952839697604,1794.0,-0.006066650045707611,0
ADANIENT,2023-03-21,1836.95,1861.0,1804.95,1824.25,1820.94,4094018,0.010692816975539365,1697.7850000000003,2282.405,1814.462964926571,1892.8558643974995,-78.39289947092857,-136.2173628917954,69.07998342312474,0.07625880565163075,2202.147720459659,1193.4222795403416,164.33571428571426,1103.75,2135.0,13255141.95,0.3088626297208383,-0.5268202215132416,72.52034915841037,69.91690931041829,-85.66082954517015,-91.72628459199973,-0.038155125096586806,0.38601163573442604,1740.65,-0.04582705221323824,0
ADANIENT,2023-03-22,1834.0,1850.0,1806.15,1815.4,1812.1,3248124,-0.0048513087570233315,1710.0,2241.607,1814.607124168637,1887.1183929606477,-72.5112687920107,-123.47614407183846,62.370676913981676,0.07576577892990592,2213.276298499714,1206.723701500286,152.0285714285714,1103.75,2135.0,13138952.4,0.2472133166415916,-0.5121400642274565,69.07998342312474,72.52034915841037,-78.39289947092857,-85.66082954517015,0.010692816975539365,0.3088626297208383,1723.05,-0.05087033160735932,0
ADANIENT,2023-03-23,1794.0,1834.0,1780.0,1794.0,1790.74,4108804,-0.011788035694612842,1729.4575,2204.549,1811.436797373462,1880.220734222822,-68.78393684936009,-112.5377026273428,59.40001006694519,0.07097451116866285,2212.753420327554,1246.1615796724457,138.87857142857143,1103.75,2135.0,12814068.8,0.32064788039845704,-0.5178909745643148,62.370676913981676,69.07998342312474,-72.5112687920107,-78.39289947092857,-0.0048513087570233315,0.2472133166415916,1600.85,-0.10766443701226314,0
ADANIENT,2023-03-24,1796.0,1823.0,1695.25,1740.65,1737.49,6187968,-0.029738015607580826,1747.3575,2166.646,1800.5465208544679,1869.882161317428,-69.3356404629601,-103.89729019446627,41.03557363290077,0.07135587270787423,2202.2542786617496,1292.4607213382503,126.66785714285713,1103.75,2135.0,12678090.2,0.4880836074190417,-0.5322279402872767,59.40001006694519,62.370676913981676,-68.78393684936009,-72.5112687920107,-0.011788035694612842,0.32064788039845704,1740.4,-0.00014362450808602656,0
ADANIENT,2023-03-27,1740.65,1757.4,1682.0,1723.05,1719.92,5053055,-0.010111165369258712,1767.7274999999997,2128.163,1788.6239791845496,1859.0057049235443,-70.38172573899465,-97.19417730337194,31.133376896827116,0.07009666780437195,2175.247180474059,1360.2078195259405,112.05357142857143,1103.75,2135.0,12493906.6,0.40444155393317893,-0.5369576609381508,41.03557363290077,59.40001006694519,-69.3356404629601,-68.78393684936009,-0.029738015607580826,0.4880836074190417,1750.45,0.015902034183569835,1
ADANIENT,2023-03-28,1727.95,1733.0,1573.0,1600.85,1597.94,8144878,-0.07092075099387718,1788.0949999999998,2085.7569999999996,1759.7356746946189,1839.8830601143927,-80.14738541977385,-93.78481892665233,20.90571542235776,0.06846060340635307,2105.5379263248424,1470.6520736751572,112.98214285714286,1103.75,2135.0,12387600.1,0.6575024971947553,-0.5601274952944895,31.133376896827116,41.03557363290077,-70.38172573899465,-69.3356404629601,-0.010111165369258712,0.40444155393317893,1717.45,0.07283630571259025,1
ADANIENT,2023-03-29,1602.95,1756.0,1591.1,1740.4,1737.24,9332702,0.08717243964144061,1806.9225,2048.1690000000003,1756.7609555108313,1832.5139445503637,-75.7529890395324,-90.17845294922834,36.82091308926469,0.06407243682219159,2055.649385675614,1558.1956143243854,113.08214285714287,1407.9,2135.0,11156816.9,0.8365022105901908,-0.521782735928119,20.90571542235776,31.133376896827116,-80.14738541977385,-70.38172573899465,-0.07092075099387718,0.6575024971947553,1698.0,-0.024362215582624747,0
ADANIENT,2023-03-31,1788.0,1825.0,1740.0,1750.45,1747.27,4893249,0.005774534589749525,1816.2300000000002,2010.391,1755.7900392783956,1826.4351338429292,-70.64509456453357,-86.27178127228939,40.41433738901677,0.05592420787964061,2039.341927067998,1593.1180729320024,109.68571428571428,1407.9,2135.0,10395762.35,0.4706965045233071,-0.5133177635054356,36.82091308926469,20.90571542235776,-75.7529890395324,-80.14738541977385,0.08717243964144061,0.8365022105901908,1754.05,0.002056614013539404,1
ADANIENT,2023-04-03,1750.45,1754.95,1695.5,1717.45,1714.33,3445796,-0.018852295124110907,1821.7400000000002,1972.806,1749.891571697104,1818.3621609656752,-68.4705892685713,-82.71154287154577,39.82759738155421,0.05599388698112363,2027.9221233763872,1615.5578766236133,104.81785714285715,1573.0,2135.0,9219505.9,0.3737506149868617,-0.5041359298985145,40.41433738901677,36.82091308926469,-70.64509456453357,-75.7529890395324,0.005774534589749525,0.4706965045233071,1797.25,0.04646423476665995,1
ADANIENT,2023-04-05,1717.45,1737.95,1671.55,1698.0,1694.92,3690559,-0.011324929401147044,1812.6650000000002,1937.495,1741.9082529744726,1809.4464453385883,-67.53819236411573,-79.67687277005977,46.92989155338323,0.04045042046482883,2024.0543043651821,1601.2756956348182,93.59642857142858,1573.0,2135.0,8259589.3,0.4468211270504697,-0.5087018792587128,39.82759738155421,40.41433738901677,-68.4705892685713,-70.64509456453357,-0.018852295124110907,0.3737506149868617,1803.15,0.06192579505300366,1
ADANIENT,2023-04-06,1705.0,1793.65,1688.15,1754.05,1750.86,6012473,0.03300942285041231,1801.2225000000003,1903.4530000000002,1743.776214055323,1805.3430049431372,-61.56679088781425,-76.05485639361068,43.03631445200426,0.039026590814429024,1998.088993567263,1604.3560064327376,89.46428571428571,1573.0,2088.0,7201190.15,0.834927682058222,-0.49039802440441604,46.92989155338323,39.82759738155421,-67.53819236411573,-68.4705892685713,-0.011324929401147044,0.4468211270504697,1847.25,0.05313417519454977,1
ADANIENT,2023-04-10,1774.0,1812.7,1760.6,1797.25,1793.99,4197975,0.02462871639919051,1789.1025000000002,1870.671,1752.002950354504,1804.7435230954973,-52.74057274099323,-71.39199966308719,46.41011799182541,0.03885335031951231,1950.884157521864,1627.3208424781365,87.93928571428572,1573.0,2068.85,6732676.75,0.6235224348176228,-0.4778471818710053,43.03631445200426,46.92989155338323,-61.56679088781425,-67.53819236411573,0.03300942285041231,0.834927682058222,1870.75,0.04089581304771173,1
ADANIENT,2023-04-11,1810.0,1829.0,1792.85,1803.15,1799.88,2883672,0.003282793156210939,1781.6024999999997,1837.894,1759.871727223042,1804.6254843476827,-44.75375712464074,-66.0643511553979,44.09493161705552,0.037906312282063065,1924.1241123038164,1639.080887696183,85.1607142857143,1573.0,1985.0,6245470.65,0.46172212817940306,-0.467932545478688,46.41011799182541,43.03631445200426,-52.74057274099323,-61.56679088781425,0.02462871639919051,0.6235224348176228,1878.75,0.04192662840029948,1
ADANIENT,2023-04-12,1814.0,1858.75,1797.05,1847.25,1843.9,4809035,0.024457199900174587,1779.155,1807.06,1773.3145384194972,1807.7828558774838,-34.468317457986586,-59.74514441591564,53.560606060606055,0.037877713976986596,1914.9110889397073,1643.3989110602927,82.48571428571431,1573.0,1985.0,6014925.3,0.7995169948328369,-0.37884595985070113,44.09493161705552,46.41011799182541,-44.75375712464074,-52.74057274099323,0.003282793156210939,0.46172212817940306,1850.95,0.0020029773988361477,1
ADANIENT,2023-04-13,1855.0,1885.0,1826.05,1870.75,1867.35,3402280,0.012721613208823923,1778.9724999999999,1789.246,1788.3046094318822,1812.447088775448,-24.14247934356581,-52.62461140144568,53.886659979939814,0.037899010270332024,1914.1982507203784,1643.7467492796213,82.69285714285718,1573.0,1918.85,5806409.1,0.5859525123712004,-0.3709438784088235,53.560606060606055,44.09493161705552,-34.468317457986586,-44.75375712464074,0.024457199900174587,0.7995169948328369,1853.85,-0.009033809969263729,0
ADANIENT,2023-04-17,1870.75,1904.9,1847.0,1878.75,1875.34,2983032,0.004276359748763836,1786.0,1768.964,1802.2192849039002,1817.3584155328224,-15.139130628922203,-45.12751524694099,55.30258642336988,0.03375041073295642,1926.797693611476,1645.202306388524,83.69642857142863,1573.0,1918.85,5321577.55,0.5605540785551457,-0.3682538081307374,53.886659979939814,53.560606060606055,-24.14247934356581,-34.468317457986586,0.012721613208823923,0.5859525123712004,1842.9,-0.01908183632734528,0
ADANIENT,2023-04-18,1892.0,1902.75,1830.0,1850.95,1847.59,2542401,-0.014797072521623433,1786.5975000000003,1746.505,1809.7163179956078,1819.8466810489097,-10.130363053301835,-38.12808480821315,54.71635610766046,0.03152190531705579,1928.439752909779,1644.7552470902217,85.03571428571433,1573.0,1918.85,4833862.45,0.5259564222809029,-0.14476146471063878,55.30258642336988,53.886659979939814,-15.139130628922203,-24.14247934356581,0.004276359748763836,0.5605540785551457,1803.0,-0.02590561603500907,0
ADANIENT,2023-04-19,1847.0,1877.7,1835.0,1853.85,1850.48,2455884,0.001566763013587602,1787.1,1740.875,1816.5061152270528,1822.3654454156572,-5.859330188604417,-31.674333884291407,60.229531899512,0.03151960214362148,1929.8637282549682,1644.3362717450316,78.96071428571433,1573.0,1918.85,4631181.9,0.5302931418003685,-0.14342150860575265,54.71635610766046,55.30258642336988,-10.130363053301835,-15.139130628922203,-0.014797072521623433,0.5259564222809029,1801.95,-0.027995792539849407,0
ADANIENT,2023-04-20,1855.0,1878.9,1836.85,1842.9,1839.55,2016823,-0.005906626749736965,1785.4175,1746.4279999999999,1820.5667128844293,1823.886523533016,-3.319810648586781,-26.00342923715048,60.96222445806276,0.031290360301127425,1924.487918645018,1646.347081354982,76.5785714285715,1573.0,1904.9,4433543.35,0.4549009315539906,-0.14848099803627124,60.229531899512,54.71635610766046,-5.859330188604417,-10.130363053301835,0.001566763013587602,0.5302931418003685,1844.6,0.0009224591676162408,1
ADANIENT,2023-04-21,1846.0,1853.25,1796.05,1803.0,1799.73,2090833,-0.02165065928699339,1785.3200000000002,1750.7519999999997,1817.8641416714402,1822.3393736416815,-4.475231970241339,-21.697789783768656,71.7669861096156,0.03044977855858932,1924.3354834238771,1646.3045165761232,69.23571428571435,1573.0,1904.9,4279678.05,0.48854913280217427,-0.16691694582418848,60.96222445806276,60.229531899512,-3.319810648586781,-5.859330188604417,-0.005906626749736965,0.4549009315539906,1847.9,0.024902939545202507,1
ADANIENT,2023-04-24,1804.0,1817.4,1775.8,1801.95,1798.68,1963582,-0.0005823627287853128,1784.205,1755.3370000000002,1815.4158121835262,1820.8290496682234,-5.41323748469722,-18.44087932395437,59.44452969157588,0.03035305747669219,1922.2601716562906,1646.1498283437093,60.428571428571495,1573.0,1904.9,4173156.25,0.47052683445533583,-0.16740210234492314,71.7669861096156,60.96222445806276,-4.475231970241339,-3.319810648586781,-0.02165065928699339,0.48854913280217427,1853.05,0.028358167540719625,1
